Unnamed: 0,Rooms,Price,Distance,Postcode,Bathroom,Car,Landsize,Propertycount,Distancia_NEW,Longtitude,Lattitude,Location_TRA,BathsAndRooms
0,2,1480000,2.5,3067.0,1,1,202.0,4019.0,5.744379858169251,144.9984,-37.7996,3.83597710028678,3.951303343426112
1,2,1035000,2.5,3067.0,1,0,156.0,4019.0,5.29842457362017,144.9934,-37.8079,3.83500273752311,4.142806653562293
2,3,1465000,2.5,3067.0,2,0,134.0,4019.0,5.12521635567525,144.9944,-37.8093,3.8348871838410097,7.045109237259334
3,3,1465000,2.5,3067.0,2,0,134.0,4019.0,9.82745803362199,144.9634,-37.7745,3.8375994387748302,5.038081863669151
4,3,1465000,2.5,3067.0,2,0,134.0,4019.0,5.08592634598159,145.0916,-37.8509,3.8332404249304504,7.078442642721603
5,3,1465000,2.5,3067.0,2,0,134.0,4019.0,19.298740023071,144.8329,-37.7749,3.83410412734382,3.8894495358040877
6,3,1465000,2.5,3067.0,2,0,134.0,4019.0,7.02261953569721,145.1116,-37.8255,3.8363432076244903,5.906680541081825
7,3,1465000,2.5,3067.0,2,0,134.0,4019.0,8.4956435990049,145.0559,-37.91725,3.82559125464004,5.380994393340878
8,3,850000,2.5,3067.0,2,1,94.0,4019.0,6.0670937822668805,144.9969,-37.7969,3.8362114353293504,6.3858533782261135
9,4,1600000,2.5,3067.0,1,2,120.0,4019.0,5.313382904089241,144.9941,-37.8072,3.83509225755941,6.893023313163403
10,2,941000,2.5,3067.0,1,0,181.0,4019.0,5.505113283325981,144.9953,-37.8041,3.83543848418558,4.049860476939349
11,3,1876000,2.5,3067.0,2,0,245.0,4019.0,5.4432425943222,144.9993,-37.8024,3.8357167798869902,6.794792071068126
12,2,1636000,2.5,3067.0,1,2,256.0,4019.0,5.33748718718516,144.9954,-37.806,3.83524837327408,4.124636361511457
13,3,1000000,2.5,3067.0,2,1,1239.0,4019.0,5.13630266081749,144.995928,-37.808343,3.83504487595518,7.035806275199541
14,2,745000,2.5,3067.0,2,1,629.1,4019.0,4.99383164422402,144.99711000000002,-37.808225,3.8350486054793596,5.727098895351027
